symbol,name,source,price_usd,market_cap,volume_24h,change_24h,change_7d,volatility,mcap_tier,trend,momentum_score
BTC,Bitcoin,coingecko,80707,1616238156642,34292151285,-1.42841,-0.6844841409307738,LOW,LARGE_CAP,DOWN,-1.13
ETH,Ethereum,coingecko,2281.89,275405002545,14516032543,-2.32772,-3.519972974323877,LOW,LARGE_CAP,DOWN,-2.8
USDT,Tether,coingecko,0.999648,189763267303,58367548750,0.00011,-0.025503976173563078,LOW,LARGE_CAP,FLAT,-0.01
BNB,BNB,coingecko,660.51,89023270288,1132535543,-0.16884,4.984974575338172,LOW,LARGE_CAP,FLAT,1.89
XRP,XRP,coingecko,1.44,88815552191,2212730955,-2.33298,2.0902858646047697,LOW,LARGE_CAP,DOWN,-0.56
USDC,USDC,coingecko,0.999776,77083433969,12294283077,-0.00014,-0.003237519599878717,LOW,LARGE_CAP,FLAT,-0.0
SOL,Solana,coingecko,94.65,54695800147,3495120201,-2.82672,10.755919047606408,LOW,LARGE_CAP,DOWN,2.61
TRX,TRON,coingecko,0.348873,33072229914,498036150,-0.69013,1.5078597501182076,LOW,LARGE_CAP,FLAT,0.19
FIGR_HELOC,Figure Heloc,coingecko,1.033,18259328834,33114606,0.17885,0.2811503965894392,LOW,LARGE_CAP,FLAT,0.22
DOGE,Dogecoin,coingecko,0.109377,16867517119,1130577255,-1.34183,-3.9306761099018455,LOW,LARGE_CAP,DOWN,-2.38
WBT,WhiteBIT Coin,coingecko,59.21,12634328821,128329950,-1.78635,-1.4734461214052097,LOW,LARGE_CAP,DOWN,-1.66
USDS,USDS,coingecko,0.999708,11028712930,56823028,-0.0067,-0.01919493042986241,LOW,LARGE_CAP,FLAT,-0.01
ADA,Cardano,coingecko,0.270676,10012220939,406025609,-3.50431,5.066837490200929,MEDIUM,LARGE_CAP,DOWN,-0.08
HYPE,Hyperliquid,coingecko,40.31,9604498340,280483317,-4.22435,-8.940530495575638,MEDIUM,MID_CAP,DOWN,-6.11
LEO,LEO Token,coingecko,10.18,9375183616,1208864,-0.35585,-1.2325078974819044,LOW,MID_CAP,FLAT,-0.71
ZEC,Zcash,coingecko,551.51,9206879343,699449425,-2.40432,27.67242157767779,LOW,MID_CAP,DOWN,9.63
BCH,Bitcoin Cash,coingecko,440.09,8816579176,205936560,-2.1816,-3.2471942518265107,LOW,MID_CAP,DOWN,-2.61
XMR,Monero,coingecko,407.08,7509309780,166835492,-1.50216,1.1835246424728674,LOW,MID_CAP,DOWN,-0.43
LINK,Chainlink,coingecko,10.27,7468669578,376285907,-3.40134,5.862715167224941,MEDIUM,MID_CAP,DOWN,0.3
TON,Toncoin,coingecko,2.34,6281454255,546979332,-0.66283,30.781851183620564,LOW,MID_CAP,FLAT,11.92
CC,Canton,coingecko,0.153199,5895668482,16797509,-3.38814,3.4976248713604345,MEDIUM,MID_CAP,DOWN,-0.63
XLM,Stellar,coingecko,0.162554,5443991980,128257175,-3.85014,2.5390527020674023,MEDIUM,MID_CAP,DOWN,-1.29
SUI,Sui,coingecko,1.25,5001460884,897581547,-5.38994,30.260440047422847,MEDIUM,MID_CAP,STRONG_DOWN,8.87
LTC,Litecoin,coingecko,57.61,4445404101,362808921,-2.27064,3.658412820963788,LOW,MID_CAP,DOWN,0.1
USD1,USD1,coingecko,0.998891,4415931018,773739561,-0.02216,-0.09069439717331756,LOW,MID_CAP,FLAT,-0.05
DAI,Dai,coingecko,0.999396,4374396404,30781484,-0.03134,-0.004268051928610039,LOW,MID_CAP,FLAT,-0.02
M,MemeCore,coingecko,3.32,4302459330,11554920,0.90772,-4.713308149526604,LOW,MID_CAP,FLAT,-1.34
AVAX,Avalanche,coingecko,9.84,4247041569,234197130,-3.35395,4.87193570163161,MEDIUM,MID_CAP,DOWN,-0.06
HBAR,Hedera,coingecko,0.093461,4053673342,76353705,-2.58853,4.036075344675276,LOW,MID_CAP,DOWN,0.06
USDE,Ethena USDe,coingecko,0.999537,3968832052,74700184,0.02623,0.026882505335991163,LOW,MID_CAP,FLAT,0.03
SHIB,Shiba Inu,coingecko,6.41e-06,3778738705,119413878,-2.83908,2.424659472759944,LOW,MID_CAP,DOWN,-0.73
RAIN,Rain,coingecko,0.00751858,3596443709,23705804,-0.04226,1.1205898727805788,LOW,MID_CAP,FLAT,0.42
